experiment_number,probability,result-reg,result-red,difference
10,0.09,167,124,43
11,0.09,179,127,52
12,0.09,106,71,35
13,0.09,4189,1286,2903
14,0.09,66,57,9
15,0.09,241,144,97
16,0.09,64,55,9
17,0.09,54,53,1
18,0.09,54,54,0
19,0.09,677,356,321
20,0.09,206,114,92
21,0.09,53,54,-1
22,0.09,71,61,10
23,0.09,164,110,54
24,0.09,144,103,41
25,0.09,301,146,155
26,0.09,2381,327,2054
27,0.09,500,253,247
28,0.09,2915,394,2521
29,0.09,1460,400,1060
30,0.09,125,87,38
31,0.09,47,48,-1
32,0.09,304,114,190
33,0.09,688,367,321
34,0.09,495,244,251
35,0.09,37,36,1
36,0.09,183,130,53
37,0.09,1480,549,931
38,0.09,145,98,47
39,0.09,653,148,505
40,0.09,6827,4545,2282
41,0.09,279,125,154
42,0.09,56,56,0
43,0.09,41,40,1
44,0.09,139,85,54
45,0.09,171,109,62
46,0.09,163,108,55
47,0.09,147,102,45
48,0.09,673,244,429
49,0.09,36,36,0
50,0.09,9021,920,8101
1,0.1,1228,345,883
2,0.1,385,194,191
3,0.1,212,111,101
4,0.1,526,183,343
5,0.1,67,66,1
6,0.1,24950,16608,8342
7,0.1,216,124,92
8,0.1,4143,300,3843
9,0.1,114,102,12
10,0.1,180,106,74
11,0.1,1864,410,1454
12,0.1,645,207,438
13,0.1,53,43,10
14,0.1,9656,6092,3564
15,0.1,96,79,17
16,0.1,146,103,43
17,0.1,2599,1655,944
18,0.1,27520,19229,8291
19,0.1,47,48,-1
20,0.1,270,125,145
21,0.1,1015,659,356
22,0.1,32746,17913,14833
23,0.1,104,93,11
24,0.1,5804,886,4918
25,0.1,68,58,10
26,0.1,153,111,42
27,0.1,96,89,7
28,0.1,51,51,0
29,0.1,15994,9705,6289
30,0.1,651,241,410
31,0.1,49,50,-1
32,0.1,5920,1400,4520
33,0.1,1403,238,1165
34,0.1,2754,1249,1505
35,0.1,2541,341,2200
36,0.1,173,98,75
37,0.1,60,59,1
38,0.1,2091,685,1406
39,0.1,82,71,11
40,0.1,81,72,9
41,0.1,1680,277,1403
42,0.1,164,110,54
43,0.1,165,165,0
44,0.1,20160,8086,12074
45,0.1,6467,4460,2007
46,0.1,157,101,56
47,0.1,774,292,482
48,0.1,96,80,16
49,0.1,73,64,9
50,0.1,61,60,1
